datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,WEST,ATSI,PAPWR,495.366,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,PE,PE,4288.103,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2981.633,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,PL,PLCO,4384.533,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,PN,PN,1826.179,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,PS,PS,4881.696,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,RECO,RECO,154.725,False
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,PEP,SMECO,372.155,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,PL,UGI,103.854,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RFC,MIDATL,AE,VMEU,92.472,True
8/1/2025 11:00:00 AM,8/1/2025 7:00:00 AM,RTO,RTO,RTO,RTO,89762.181,False
8/1/2025 12:00:00 PM,8/1/2025 8:00:00 AM,RFC,MIDATL,AE,AECO,1179.508,False
8/1/2025 12:00:00 PM,8/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPAPT,4152.358,True
8/1/2025 12:00:00 PM,8/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPIMP,3256.257,True
8/1/2025 12:00:00 PM,8/1/2025 8:00:00 AM,RFC,WEST,AEP,AEPKPT,626.281,True
